episode,exploration
0,1.0
1,0.9090909090909091
2,0.8264462809917354
3,0.7513148009015777
4,0.6830134553650705
5,0.6209213230591549
6,0.5644739300537771
7,0.5131581182307065
8,0.4665073802097331
9,0.4240976183724846
10,0.3855432894295314
11,0.35049389948139215
12,0.31863081771035645
13,0.2896643797366877
14,0.2633312543060797
15,0.23939204936916333
16,0.21762913579014848
17,0.19784466890013497
18,0.17985878990921358
19,0.1635079908265578
20,0.14864362802414344
21,0.13513057093103947
22,0.12284597357367223
23,0.11167815779424747
24,0.10152559799477043
25,0.09229599817706402
26,0.08390545288824001
27,0.07627768444385455
28,0.06934334949441322
29,0.06303940863128474
30,0.057308553301167936
31,0.052098684819243575
32,0.047362440744766886
33,0.04305676431342444
34,0.03914251301220403
35,0.0355841027383673
36,0.03234918430760663
37,0.02940834937055148
38,0.026734863064137707
39,0.024304420967397912
40,0.022094928152179918
41,0.02008629832016356
42,0.01826027120014869
43,0.01660024654558972
44,0.01509113322326338
45,0.013719212021148525
46,0.01247201092831684
47,0.011338191753015309
48,0.010307447048195735
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.01
60,0.01
61,0.01
62,0.01
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.01
69,0.01
70,0.01
71,0.01
72,0.01
73,0.01
74,0.01
75,0.01
76,0.01
77,0.01
78,0.01
79,0.01
80,0.01
81,0.01
82,0.01
83,0.01
84,0.01
85,0.01
86,0.01
87,0.01
88,0.01
89,0.01
90,0.01
91,0.01
92,0.01
93,0.01
94,0.01
95,0.01
96,0.01
97,0.01
98,0.01
99,0.01
